,Random (500),Reverse (500),Twenty percent sorted (500),Random (2500),Reverse (2500),Twenty percent sorted (2500),Random (12500),Reverse (12500),Twenty percent sorted (12500),Random (62500),Reverse (62500),Twenty percent sorted (62500),









adap_sequencial_search1 comparisons,157,495,266,601,905,2073,3918,8017,126,15702,26206,56720,
adap_sequencial_search1 comparisons,487,153,399,114,1316,558,8686,10398,6812,56804,34907,2779,
adap_sequencial_search1 comparisons,3,440,264,1542,941,615,2832,4208,6614,29249,11981,25400,
adap_sequencial_search1 comparisons,91,68,407,1973,1666,1437,6347,10603,10652,14520,18058,17807,
adap_sequencial_search1 comparisons,68,466,169,868,1243,1313,82,8348,10627,42454,60561,24660,
adap_sequencial_search1 comparisons,428,262,83,1423,898,2275,8638,9542,8362,49546,47320,61698,
adap_sequencial_search1 comparisons,10,26,252,1459,535,1238,10037,331,7733,15430,39855,61528,
adap_sequencial_search1 comparisons,122,27,366,1941,2474,12,733,1495,10775,18602,9443,58290,
adap_sequencial_search1 comparisons,86,261,37,444,1141,799,1337,3685,8517,33146,5514,20826,
adap_sequencial_search1 comparisons,307,76,445,2125,1857,2164,1481,9946,6497,20774,21138,25534,
adap_sequencial_search1 comparisons,455,10,118,669,776,30,3940,11400,1308,15857,2122,37867,
adap_sequencial_search1 comparisons,56,429,268,2266,2262,77,8103,3496,3966,39129,13769,26640,
adap_sequencial_search1 comparisons,251,270,400,1874,547,2259,10206,8186,7663,12264,11035,45982,
adap_sequencial_search1 comparisons,34,165,341,453,2465,1767,6781,4703,1409,929,56996,55351,
adap_sequencial_search1 comparisons,373,159,439,739,1890,1137,2143,10786,909,40098,37198,4134,
adap_sequencial_search1 comparisons,44,500,302,590,1553,1241,7410,12379,1646,25288,33721,37307,
adap_sequencial_search1 comparisons,132,333,46,1367,372,1272,9219,8854,5106,16811,18892,41908,
adap_sequencial_search1 comparisons,74,337,124,1273,157,886,6711,5919,6309,12148,33357,18632,
adap_sequencial_search1 comparisons,266,143,465,234,992,476,7066,8793,2443,52533,3199,51656,
adap_sequencial_search1 comparisons,53,216,278,1901,1011,1591,2652,2874,2544,62093,62123,43716,
adap_sequencial_search1 comparisons,78,305,460,1766,604,2398,3930,9653,10294,40755,43592,16300,
adap_sequencial_search1 comparisons,253,140,209,1183,871,2073,2261,12363,6281,25056,4271,59020,
adap_sequencial_search1 comparisons,270,145,378,2177,728,2432,5728,11013,3045,17805,21718,30584,
adap_sequencial_search1 comparisons,368,426,33,2497,23,461,10375,6009,462,45913,59539,12971,
adap_sequencial_search1 comparisons,107,143,175,2433,1247,645,10590,6909,9621,41307,12176,4229,
adap_sequencial_search1 comparisons,219,6,403,32,556,771,2057,3004,3845,17211,11517,41500,
adap_sequencial_search1 comparisons,414,73,393,507,2173,1963,9658,4696,5197,39940,868,30465,
adap_sequencial_search1 comparisons,85,170,106,732,745,901,5817,3337,1887,6924,8597,11490,
adap_sequencial_search1 comparisons,276,107,12,1438,624,1467,10342,3159,7874,13353,4512,44758,
adap_sequencial_search1 comparisons,345,147,251,590,1186,624,3580,9617,10935,10176,11661,15500,
