,Random (500),Reverse (500),Twenty percent sorted (500),Random (2500),Reverse (2500),Twenty percent sorted (2500),Random (12500),Reverse (12500),Twenty percent sorted (12500),Random (62500),Reverse (62500),Twenty percent sorted (62500)
bubble comparisons,249500,249500,249500,6247500,6247500,6247500,156237500,156237500,156237500,3906187500,3906187500,3906187500
bubble comparisons,249500,249500,249500,6247500,6247500,6247500,156237500,156237500,156237500,3906187500,3906187500,3906187500
bubble comparisons,249500,249500,249500,6247500,6247500,6247500,156237500,156237500,156237500,3906187500,3906187500,3906187500
,,,,,,,,,,,,
bubble exchanges,59868,124750,57855,1551350,3123750,1465418,39214987,78118750,38111997,974540877,1953093750,945956716
bubble exchanges,59009,124750,61938,1549869,3123750,1524098,38674249,78118750,37649145,976176585,1953093750,945180589
bubble exchanges,63483,124750,60553,1575505,3123750,1476766,39211090,78118750,37532234,972727155,1953093750,950438291
,,,,,,,,,,,,
adap. bubble sort comparisons,237025,249500,200099,5885145,6247500,5110455,154800115,156237500,138801395,3873063030,3906187500,3751002483
adap. bubble sort comparisons,226047,249500,205588,6187524,6247500,5145441,155000099,156237500,137289016,3893312706,3906187500,3830876205
adap. bubble sort comparisons,240019,249500,198103,6205017,6247500,5132946,153812694,156237500,136639068,3865125657,3906187500,3739877661
,,,,,,,,,,,,
adap. bubble sort exchanges,59868,124750,57855,1551350,3123750,1465418,39214987,78118750,38111997,974540877,1953093750,945956716
adap. bubble sort exchanges,59009,124750,61938,1549869,3123750,1524098,38674249,78118750,37649145,976176585,1953093750,945180589
adap. bubble sort exchanges,63483,124750,60553,1575505,3123750,1476766,39211090,78118750,37532234,972727155,1953093750,950438291
,,,,,,,,,,,,
selection sort comparisons,124750,124750,124750,3123750,3123750,3123750,78118750,78118750,78118750,1953093750,1953093750,1953093750
selection sort comparisons,124750,124750,124750,3123750,3123750,3123750,78118750,78118750,78118750,1953093750,1953093750,1953093750
selection sort comparisons,124750,124750,124750,3123750,3123750,3123750,78118750,78118750,78118750,1953093750,1953093750,1953093750
,,,,,,,,,,,,
selection sort exchanges,492,250,493,2492,1250,2491,12494,6250,12493,62487,31250,62486
selection sort exchanges,497,250,494,2494,1250,2489,12491,6250,12485,62488,31250,62487
selection sort exchanges,493,250,493,2493,1250,2486,12488,6250,12493,62490,31250,62488
,,,,,,,,,,,,
insertion sort comparisons,59868,124750,57855,1551350,3123750,1465418,39214987,78118750,38111997,974540877,1953093750,945956716
insertion sort comparisons,59009,124750,61938,1549869,3123750,1524098,38674249,78118750,37649145,976176585,1953093750,945180589
insertion sort comparisons,63483,124750,60553,1575505,3123750,1476766,39211090,78118750,37532234,972727155,1953093750,950438291
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,500,2500,12500,62500,,,500,2500,12500,62500,,
Random,309368,7798850,195452487,4880728377,,Random,59868,1551350,39214987,974540877,,
20 % Sorted,307355,7712918,194349497,4852144216,,20 % Sorted,57855,1465418,38111997,945956716,,
Reverse,374250,9371250,234356250,5859281250,,Reverse,124750,3123750,78118750,1953093750,,
,,,,,,,,,,,,
,500,2500,12500,62500,,,500,2500,12500,62500,,
Random,296893,7436495,194015102,4847603907,,Random,125242,3126242,78131244,1953156237,,
20 % Sorted,257954,6575873,176913392,4696959199,,20 % Sorted,125243,3126241,78131243,1953156236,,
Reverse,374250,9371250,234356250,5859281250,,Reverse,125000,3125000,78125000,1953125000,,
